x	y	occurrence	id	boat	elev	nit	phos	pop	solar	wc18	wind	land
-83.67083333333333	42.2125	0	background_175	0.14703685647179965	0.9122340392989495	-1.295794264003002	-0.12269028654354076	1.6932826243571513	0.4934206167170087	1.134888526127037	0.3639230380984741	Developed, Medium Intensity
-83.9487	43.763236	1	83	-0.2800558218735482	-0.8090742589253641	NA	0.18764619214153455	-0.363173534106973	-0.5121612370208254	-1.3905351772256465	-1.6216998653262895	Open Water
-83.7875	42.37916666666667	0	background_19	-0.5404582238779182	1.7066840230947866	0.0616452474368788	-0.12269028654354076	-0.3283997371194724	0.3769188605547135	0.44613660703085056	0.0991735701268476	Pasture/Hay
-83.1375	42.3125	0	background_258	-0.25360291506589855	-0.6987339833981645	-0.5627767802461597	0.0692859974780357	1.8727816930435663	-0.03487335430613763	1.134888526127037	1.3236403329050113	Developed, Medium Intensity
-83.35694	41.90947	1	450	-0.7674304338881259	-0.8311423140308041	-1.0514551027507213	-0.12269028654354076	-0.30223659588746254	1.0839952425033759	1.517528481180474	1.3898286467167005	Emergent Herbaceous Wetlands
-83.898076	43.925189	1	74	-0.05476026698847236	-0.7649381487144843	0.9032579283564606	-0.12833906150085847	-0.13300411595161205	-0.4847801470592599	-0.9313672311615222	-1.588605708420445	Woody Wetlands
-83.795716	43.636032	1	78	-0.7902870883491152	-0.8090742589253641	0.2516870042910881	0.9117341312363317	-0.3593649754682536	0.05747490820669752	-1.8497031232897707	-1.4231377643475696	Open Water
-83.46055	41.782232	1	36	-0.5980794785632779	-0.853210369136244	-1.2414967301493984	-0.12269028654354076	-0.3452898667689929	1.438873546566359	1.4410004901697866	1.158172388832136	Emergent Herbaceous Wetlands
-84.4875	46.0875	0	background_332	-0.009732003549666322	1.088778480142469	-0.8885623717343781	-0.9855356637545316	-0.36019292301557504	-2.6376875530055415	-0.24261531206533582	-0.0662953207648102	Deciduous Forest
-83.502026	42.478409	1	258	0.4090275835592782	1.9052965190437459	-0.29128885206707716	-0.12269028654354076	0.9123624370828776	0.09558948609896863	0.3696086160201632	0.6617666629759451	Developed, Low Intensity
