boat	elev	nit	pop	wc10	x	y	id	land
-0.4765745019137124	-0.4805464001779465	NA	1.2585953722845042	1.6037125775144687	-83.75416666666668	43.62916666666667	165	95
-0.4725409076702224	-0.4805464001779465	NA	-0.3587935392410423	0.9511942854541942	-83.91250000000001	43.7875	166	11
-0.4656711935048213	-0.4805464001779465	0.4692596757607427	-0.0011799202995478168	-0.3538422986663551	-83.91250000000001	43.87083333333334	167	11
-0.45931922407528686	-0.4805464001779465	NA	-0.3587935392410423	-0.10915143952798101	-83.47916666666667	43.74583333333334	168	11
-0.4571661974310027	-0.4805464001779465	NA	-0.3587935392410423	0.5433668525322936	-83.90416666666667	43.8125	169	11
-0.4373758171196463	0.16489337261008488	-0.7110861885521181	1.3507079104252266	0.29867599339391954	-83.5875	43.6625	170	11
-0.4334284257258095	-0.4805464001779465	NA	-0.3587935392410423	0.29867599339391954	-83.53750000000001	43.72916666666667	171	11
-0.4276576494953141	3.3920922365502415	1.5905880217248536	0.2345199631502857	-1.6588788827869043	-83.85416666666667	43.99583333333333	172	90
-0.42271539675169223	-0.4805464001779465	NA	-0.3587935392410423	-0.9247969710138383	-83.40416666666667	43.84583333333333	173	11
-0.4105776134101621	0.16489337261008488	-0.9471556991143509	-0.24771658282121783	0.5433668525322936	-83.5625	43.65416666666667	174	82
-0.4094234054002683	-0.4805464001779465	NA	-0.3587935392410423	0.8696306657414028	-83.67916666666667	43.60416666666667	175	11
-0.4071661702613765	0.8103331453981163	-0.5930517146873856	0.08822349089504794	0.7880670460286114	-83.65416666666667	43.587500000000006	176	82
-0.40423303091189094	-0.4805464001779465	NA	-0.3587935392410423	0.21711237368112818	-83.52083333333334	43.72916666666667	177	11
-0.3950451394246757	0.16489337261008488	-1.2422421651925661	-0.14205800947808947	0.5433668525322936	-83.57083333333334	43.65416666666667	178	82
-0.39454612583594106	-0.4805464001779465	NA	-0.14205800947808947	0.13553941961039304	-83.47916666666667	43.72083333333333	179	11
-0.39348174818658865	-0.4805464001779465	NA	-0.3587935392410423	-1.0879242104394211	-83.82916666666667	43.979166666666664	180	11
-0.3876179757678676	-0.4805464001779465	NA	-0.3587935392410423	-1.0879242104394211	-83.44583333333334	43.8125	181	95
-0.37574902396052756	-0.4805464001779465	NA	-0.3587935392410423	0.9511942854541942	-83.6875	43.60416666666667	182	11
-0.3728247225466606	-0.4805464001779465	NA	-0.3587935392410423	3.071876401060601	-83.75416666666668	43.6375	183	11
-0.3715764630726463	-0.4805464001779465	NA	-0.3587935392410423	-0.19071505924077237	-83.4625	43.75416666666667	184	11
-0.36449872764649066	0.16489337261008488	0.29220768354726007	0.8088690860178446	1.6037125775144687	-83.75416666666668	43.62083333333334	185	82
-0.36225521109423076	-0.4805464001779465	0.6463111051414577	-0.35066595655197047	1.2774487643053596	-83.70416666666667	43.59583333333334	186	90
-0.35038718265329866	-0.4805464001779465	2.239778472230034	-0.3587935392410423	0.29867599339391954	-83.91250000000001	43.82083333333333	187	11
-0.3478616436181642	-0.4805464001779465	NA	-0.3587935392410423	-1.0063605907266298	-83.42083333333333	43.829166666666666	188	95
-0.3443405836858104	0.8103331453981163	1.472553547860121	0.14511657779257847	-1.4141880236485302	-83.84583333333333	43.99583333333333	189	90
-0.3333200736978575	-0.4805464001779465	NA	-0.3587935392410423	0.8696306657414028	-83.67083333333333	43.60416666666667	190	11
-0.31733383107762425	-0.4805464001779465	-0.5930517146873856	-0.14205800947808947	0.21711237368112818	-83.48750000000001	43.7125	191	11
-0.30857609642701056	-0.4805464001779465	NA	-0.3587935392410423	-0.9247969710138383	-83.45416666666667	43.80416666666667	192	11
-0.30615344679161516	-0.4805464001779465	NA	-0.3587935392410423	-0.027587819815189665	-83.48750000000001	43.72916666666667	193	11
-0.2960177856414185	-0.4805464001779465	NA	-0.3587935392410423	0.21711237368112818	-83.50416666666668	43.72083333333333	194	11
-0.2898201503114927	0.16489337261008488	-0.8291212252496184	-0.13122124332469723	0.46180323281950225	-83.47916666666667	43.704166666666666	195	82
-0.2874730848120595	-0.4805464001779465	NA	-0.3587935392410423	-1.0063605907266298	-83.40416666666667	43.854166666666664	196	11
-0.2856093356724264	-0.4805464001779465	NA	-0.3587935392410423	-0.027587819815189665	-83.90416666666667	43.8375	197	11
-0.28468240770836656	-0.4805464001779465	NA	-0.3587935392410423	0.21711237368112818	-83.59583333333333	43.670833333333334	198	11
-0.27779594103813615	0.8103331453981163	1.2955015556466383	-0.16102236316497012	-0.9247969710138383	-83.87916666666666	43.9625	199	90
-0.2776512363310672	0.8103331453981163	-1.0651901729790836	0.2047188174731243	0.46180323281950225	-83.57916666666667	43.65416666666667	200	82
-0.2755528202143368	-0.4805464001779465	NA	-0.3587935392410423	-0.2722786789535637	-83.47083333333335	43.75416666666667	201	11
-0.27030585655610295	-0.4805464001779465	NA	-0.3587935392410423	-0.19071505924077237	-83.90416666666667	43.87083333333334	202	11
-0.26574798805714744	-0.4805464001779465	NA	-0.3587935392410423	-1.0879242104394211	-83.42083333333333	43.82083333333333	203	95
-0.2563204170323348	-0.4805464001779465	NA	-0.3587935392410423	-1.1694878301522125	-83.42916666666667	43.82083333333333	204	95
-0.24053863411671136	-0.4805464001779465	NA	-0.3587935392410423	1.1958851445925682	-83.69583333333334	43.60416666666667	205	11
-0.24024698224129706	0.16489337261008488	-0.6520692330361357	-0.03098104013982072	0.6249304722450849	-83.65416666666667	43.59583333333334	206	82
-0.23566497430624891	-0.4805464001779465	-0.47501724082265306	-0.3587935392410423	-1.1694971645101562	-83.82916666666667	43.9875	207	11
-0.23507916427517023	-0.4805464001779465	NA	-0.3587935392410423	-0.9247969710138383	-83.42083333333333	43.8375	208	95
-0.23440853644405021	-0.4805464001779465	NA	-0.3587935392410423	0.21711237368112818	-83.5125	43.72916666666667	209	11
-0.22772864003021906	-0.4805464001779465	NA	-0.3587935392410423	-0.8432333513010469	-83.85416666666667	43.954166666666666	210	11
-0.22415033138057458	-0.4805464001779465	NA	-0.3587935392410423	-0.8432333513010469	-83.41250000000001	43.84583333333333	211	11
-0.20514151477877487	-0.4805464001779465	NA	-0.3587935392410423	-0.6801061118754642	-83.8625	43.954166666666666	212	11
-0.18348685768983802	1.4557729181861476	-0.8291212252496184	-0.2124970540673603	0.29867599339391954	-83.47083333333335	43.7125	213	82
-0.17060497293301521	0.8103331453981163	1.472553547860121	-0.10412930210432812	-1.3326244039357389	-83.8375	43.99583333333333	214	95
-0.16966010527874442	0.16489337261008488	NA	-0.3587935392410423	-1.0879242104394211	-83.4375	43.82083333333333	215	95
-0.16501741897974756	-0.4805464001779465	NA	-0.3587935392410423	0.7064940919578763	-83.66250000000001	43.60416666666667	216	11
-0.1578096207995627	-0.4805464001779465	NA	-0.3587935392410423	-0.10915143952798101	-83.48750000000001	43.74583333333334	217	11
-0.14787723216859422	-0.4805464001779465	1.000415089568423	-0.15289478854992597	1.1143215248797769	-83.92916666666667	43.77916666666667	218	11
-0.13720245694566205	-0.4805464001779465	NA	-0.3587935392410423	0.13553941961039304	-83.90416666666667	43.82083333333333	219	11
-0.1320430811866933	-0.4805464001779465	NA	-0.3587935392410423	1.1958851445925682	-83.92083333333333	43.77916666666667	220	11
-0.12884651859197827	-0.4805464001779465	-1.419294157406049	-0.3587935392410423	0.29867599339391954	-83.59583333333333	43.6625	221	11
-0.11321511249135811	-0.4805464001779465	NA	3.900059537922938	1.8484034366528428	-83.74583333333334	43.62916666666667	222	11
-0.1061024210511885	-0.4805464001779465	NA	-0.3587935392410423	0.13553941961039304	-83.48750000000001	43.72083333333333	223	11
-0.10250604080184623	0.8103331453981163	NA	-0.3587935392410423	-1.0063605907266298	-83.45416666666667	43.8125	224	95
-0.0948736259835073	-0.4805464001779465	NA	-0.3587935392410423	-0.10915143952798101	-83.47916666666667	43.75416666666667	225	11
-0.09251996500973185	-0.4805464001779465	NA	-0.3587935392410423	-0.6801061118754642	-83.87083333333334	43.954166666666666	226	11
-0.08707526903071734	0.16489337261008488	2.0627264800165515	0.5298221121175536	0.13554875396833682	-83.92083333333333	43.829166666666666	227	11
-0.08561582246826419	1.4557729181861476	-0.6520692330361357	0.9199461070298903	0.3802396131067109	-83.5875	43.65416666666667	228	90
-0.07412334033637982	-1.125986172965978	1.4135360295113708	-0.20436947945231612	1.0327579051669855	-83.9375	43.77916666666667	229	95
-0.07053329174240612	2.101212690974179	2.2987954277460165	-0.08245574396065514	0.053975799897601685	-83.92916666666667	43.829166666666666	230	90
-0.06769723777523848	-0.4805464001779465	NA	-0.3587935392410423	0.13553941961039304	-83.49583333333334	43.72083333333333	231	11
-0.048492403675987096	0.16489337261008488	-0.6520692330361357	-0.14205800947808947	0.29867599339391954	-83.47916666666667	43.7125	232	95
-0.045406249321761315	-0.4805464001779465	0.3512246390632425	-0.35066595655197047	1.5221489578016774	-83.7125	43.59583333333334	233	82
-0.03443190765420413	-0.4805464001779465	NA	-0.3587935392410423	-1.2510607842229475	-83.82083333333334	43.979166666666664	234	11
-0.033664985897687266	-0.4805464001779465	NA	-0.3587935392410423	2.8271855419222267	-83.74583333333334	43.6375	235	11
-0.03010765085645112	-0.4805464001779465	0.23319016519850994	-0.35066595655197047	1.2774487643053596	-83.70416666666667	43.60416666666667	236	11
-0.0293593283375794	-0.4805464001779465	NA	-0.3587935392410423	1.1143215248797769	-83.91250000000001	43.77916666666667	237	11
-0.02707096255979222	-0.4805464001779465	0.23319016519850994	2.472314318287529	1.8484034366528428	-83.74583333333334	43.62083333333334	238	95
-0.017622549836058075	-0.4805464001779465	NA	-0.3587935392410423	0.053975799897601685	-83.91250000000001	43.829166666666666	239	11
-0.0026113821425831516	0.16489337261008488	NA	-0.3587935392410423	-1.0879242104394211	-83.44583333333334	43.82083333333333	240	95
0.0017126108361961699	-0.4805464001779465	NA	-0.3587935392410423	0.13553941961039304	-83.50416666666668	43.72916666666667	241	11
0.014149432984403942	-0.4805464001779465	NA	-0.3587935392410423	-1.2510607842229475	-83.42916666666667	43.829166666666666	242	95
0.023184705195339526	-0.4805464001779465	NA	-0.3587935392410423	0.29867599339391954	-83.52916666666667	43.737500000000004	243	11
0.032255461058236415	-0.4805464001779465	NA	-0.3587935392410423	-1.0063605907266298	-83.42083333333333	43.84583333333333	244	11
0.044846485396566	-0.4805464001779465	NA	-0.3587935392410423	-0.9247969710138383	-83.4625	43.80416666666667	245	11
0.06518376244038177	2.101212690974179	1.1184495634331557	-0.09600171457083968	-1.3326244039357389	-83.82916666666667	43.99583333333333	246	95
0.06750088448630115	-0.4805464001779465	-0.17993077474443783	-0.07161895197037438	0.6249304722450849	-83.65416666666667	43.60416666666667	247	95
0.07395653477249578	-0.4805464001779465	NA	-0.3587935392410423	0.21711237368112818	-83.52083333333334	43.737500000000004	248	11
0.07731547794551703	-1.125986172965978	1.5315705033761033	-0.177277538231947	0.8696306657414028	-83.94583333333334	43.77916666666667	249	82
0.08467998459607376	0.16489337261008488	-1.0061726546303333	-0.03098104013982072	0.7880670460286114	-83.64583333333334	43.59583333333334	250	82
0.0897880475646598	-0.4805464001779465	0.11515569133377739	-0.34253837386289865	-1.3326244039357389	-83.82083333333334	43.9875	251	11
0.09206322239376248	-0.4805464001779465	0.5282766312767252	0.21284643084350124	-0.5985424921626729	-83.87916666666666	43.954166666666666	252	11
0.10282967471005193	-0.4805464001779465	NA	-0.3587935392410423	-1.0879242104394211	-83.42916666666667	43.8375	253	95
0.12588639773466434	-0.4805464001779465	NA	-0.3587935392410423	-0.3538422986663551	-83.4625	43.7625	254	11
0.13063408398518983	4.037532009338273	1.944692006151819	0.1640809056425706	-1.6588788827869043	-83.84583333333333	44.00416666666666	255	90
0.14407948606981452	-0.4805464001779465	NA	-0.3587935392410423	-0.10915143952798101	-83.48750000000001	43.75416666666667	256	11
0.14480169051029093	-0.4805464001779465	NA	-0.3587935392410423	-0.2722786789535637	-83.90416666666667	43.87916666666667	257	11
0.16178107965698021	0.16489337261008488	-0.6520692330361357	0.27786707943763167	0.46180323281950225	-83.59583333333333	43.65416666666667	258	11
