x	y	occurrence	id	boat	elev	nit	phos	pop	land
-84.37916666666666	45.9875	0	background_3	-0.7475545501474016	-0.6441736396432582	-0.6003127255914874	-0.5692066296496555	-0.3406511477747366	Woody Wetlands
-83.88294	43.94957	1	22	-0.3354919779305525	-0.8070130727129293	0.5379206032822216	-0.11389414311861856	-0.3641318709374439	Open Water
-83.879072	45.007272	1	13	-0.5947558991006044	0.19037845483880658	-0.726783095466344	-1.8458338174159903	-0.4356746787677828	Open Water
-84.073433	42.364635	1	18	-0.9754817614097904	1.6355784233321382	1.2461547228260357	-0.08928782979861344	-0.43659189429764483	Woody Wetlands
-82.60384	42.59492	1	6	-0.952167156921217	-0.8070130727129293	-0.47384235571663086	0.7190613597900033	-0.39128144922180025	Open Water
-82.805278	42.578056	1	12	-0.9087273065235102	-0.7459482853118027	-0.5244304554219561	0.6314899566980058	-0.43659189429764483	Woody Wetlands
-83.2875	44.82083333333333	0	background_26	-0.785247687989048	-0.8070130727129293	NA	-1.9115619591414401	-0.45970572634994794	Open Water
-83.50416666666666	41.75416666666667	0	background_13	-0.5538825666844492	-0.7866581435792205	-1.3591349448406267	-0.08928782979861344	-0.3406511477747366	Cultivated Crops
-83.72916666666666	42.295833333333334	0	background_17	-0.40640553123536205	1.0045756201871625	-0.6003127255914874	-0.08928782979861344	4.0436389030229964	Developed, Low Intensity
-83.42161	41.82441	1	20	-0.463835689038833	-0.8477229309803471	NA	-0.08928782979861344	-0.07025600677229005	Open Water
-83.6125	42.145833333333336	0	background_5	0.3759879494440926	-0.09459055303311799	-0.7014889250021378	-0.08928782979861344	-0.3762391131325031	Cultivated Crops
-82.89583333333333	42.520833333333336	0	background_27	0.09164464605231648	-0.684883497910676	NA	0.4832928876921563	2.9494009998271657	Developed, Medium Intensity
-84.02916666666667	42.57083333333333	0	background_21	0.8546841783004059	1.3098995571927958	2.283211852289094	-0.08928782979861344	-0.15775836272288854	Pasture/Hay
-83.541594	45.110733	1	30	0.478763603064775	-0.17601026956795357	-0.32207781537756813	-2.0184184082902634	-0.4017377041628877	Woody Wetlands
-82.584906	42.573383	1	2	-0.4611067182425977	-0.8273680018466383	-0.5497246258861622	0.7190613597900033	-0.45493620576961036	Woody Wetlands
-84.257909	46.208379	1	11	-0.6561445630481031	-0.8477229309803471	-0.8785475151938631	-0.1022049980038288	-0.45383554687135846	Emergent Herbaceous Wetlands
-83.20012	42.087109	1	8	-0.8132786645168236	-0.7866581435792205	-0.7520771453190066	-0.015188796909694189	0.9786716227937754	Developed, Medium Intensity
-83.5625	42.295833333333334	0	background_1	0.6492945445301967	0.31250802964105995	-0.8279592948769944	-0.08928782979861344	-0.4494329125904382	Cultivated Crops
-83.74583333333332	43.59583333333333	0	background_4	-0.2078085051599309	-0.7866581435792205	0.38615630416624597	0.7169840869649652	-0.3613802243478578	Cultivated Crops
-83.262458	41.975014	1	9	-0.5607365329013918	-0.8273680018466383	-0.9797238352160571	-0.08928782979861344	-0.13684585983851286	Open Water
-83.59583333333333	41.8375	0	background_23	1.2259050433239813	-0.35920463177133366	-0.9797238352160571	-0.08928782979861344	-0.3155194478547563	Cultivated Crops
-84.40416666666667	42.25416666666667	0	background_12	0.21616864941148692	1.4116742028613405	NA	-0.08928782979861344	1.636315157704852	Developed High Intensity
-83.505053	43.709729	1	1	-0.7129383035519525	-0.8070130727129293	NA	0.6892538902314911	-0.45970572634994794	Emergent Herbaceous Wetlands
-83.39583333333333	41.92916666666667	0	background_6	-0.5493124962371637	-0.6441736396432582	-1.1061942050909137	-0.08928782979861344	0.7119454138887685	Developed, Low Intensity
